,contract_type_id,payment_type_id,internet_service_type_id,customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,internet_service_type,payment_type,contract_type
1989,1,1,2,2876-GZYZC,Female,0,No,No,13,Yes,Yes,No,No,No,No,No,Yes,Yes,85.95,1215.65,No,Fiber optic,Electronic check,Month-to-month
1990,1,2,3,2876-VBBBL,Female,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,20.25,20.25,Yes,None,Mailed check,Month-to-month
1991,2,2,1,2877-VDUER,Female,0,Yes,Yes,35,No,No phone service,No,No,No,Yes,Yes,No,No,40.9,1383.6,No,DSL,Mailed check,One year
1992,2,1,3,2878-DHMIN,Male,0,Yes,Yes,35,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.9,666,No,None,Electronic check,One year
1993,3,4,2,2878-RMWXY,Male,1,Yes,No,72,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,102.65,7550.3,No,Fiber optic,Credit card (automatic),Two year
1994,1,1,2,2880-FPNAE,Male,1,Yes,No,2,Yes,No,No,No,Yes,No,No,No,Yes,74.2,140.1,No,Fiber optic,Electronic check,Month-to-month
1995,1,3,3,2882-DDZPG,Female,0,No,No,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.45,227.45,No,None,Bank transfer (automatic),Month-to-month
1996,3,3,1,2882-WDTBA,Male,0,Yes,Yes,69,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,75.75,5388.15,No,DSL,Bank transfer (automatic),Two year
1997,1,3,2,2883-ILGWO,Male,1,No,No,57,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,104.9,5913.95,No,Fiber optic,Bank transfer (automatic),Month-to-month
1998,1,1,2,2884-GBPFB,Female,0,Yes,No,35,Yes,No,No,No,No,No,No,No,Yes,70.3,2416.55,Yes,Fiber optic,Electronic check,Month-to-month
1999,3,3,1,2885-HIJDH,Male,0,Yes,Yes,69,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,86.9,6194.1,No,DSL,Bank transfer (automatic),Two year
2000,2,1,2,2886-KEFUM,Female,0,Yes,No,63,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,107.5,6873.75,Yes,Fiber optic,Electronic check,One year
2001,1,3,1,2887-JPYLU,Female,0,No,Yes,41,Yes,No,No,No,No,No,No,No,No,45.2,1841.9,No,DSL,Bank transfer (automatic),Month-to-month
2002,3,3,3,2888-ADFAO,Female,0,Yes,Yes,47,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,21.3,1041.8,No,None,Bank transfer (automatic),Two year
2003,2,3,2,2889-FPWRM,Male,0,Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,117.8,8684.8,Yes,Fiber optic,Bank transfer (automatic),One year
2004,2,4,1,2890-WFBHU,Female,0,No,No,59,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,79.85,4786.1,No,DSL,Credit card (automatic),One year
2005,3,2,3,2892-GESUL,Female,0,Yes,Yes,18,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.35,309.25,No,None,Mailed check,Two year
2006,1,3,1,2894-QOJRX,Female,0,Yes,No,25,No,No phone service,No,No,No,No,Yes,No,Yes,34.0,853,Yes,DSL,Bank transfer (automatic),Month-to-month
2007,2,1,2,2896-TBNBE,Male,0,Yes,No,40,Yes,No,No,Yes,Yes,No,No,No,No,80.8,3132.75,No,Fiber optic,Electronic check,One year
2008,1,1,2,2897-DOVND,Male,0,No,No,2,Yes,No,No,No,No,No,No,No,Yes,69.8,146.65,No,Fiber optic,Electronic check,Month-to-month
2009,2,1,1,2898-LSJGD,Female,0,Yes,Yes,21,No,No phone service,Yes,No,Yes,No,Yes,Yes,Yes,55.95,1157.05,Yes,DSL,Electronic check,One year
2010,2,4,2,2898-MRKPI,Male,0,Yes,Yes,68,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,101.05,6770.5,No,Fiber optic,Credit card (automatic),One year
2011,3,4,3,2900-PHPLN,Female,1,Yes,No,70,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.55,1462.05,No,None,Credit card (automatic),Two year
2012,1,1,1,2903-YYTBW,Male,0,Yes,Yes,1,Yes,No,No,No,No,No,No,No,No,44.55,44.55,No,DSL,Electronic check,Month-to-month
2013,3,3,2,2904-GGUAZ,Female,0,Yes,No,72,Yes,Yes,Yes,Yes,No,No,No,No,Yes,84.05,6052.25,No,Fiber optic,Bank transfer (automatic),Two year
2014,1,4,2,2905-KFQUV,Female,0,Yes,No,2,Yes,No,No,No,No,No,No,No,Yes,70.4,154.8,No,Fiber optic,Credit card (automatic),Month-to-month
2015,2,2,3,2907-ILJBN,Female,0,Yes,Yes,11,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.6,233.9,No,None,Mailed check,One year
2016,3,4,3,2908-WGAXL,Female,0,Yes,Yes,56,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,24.95,1468.9,No,None,Credit card (automatic),Two year
2017,1,3,1,2908-ZTPNF,Female,0,No,No,36,No,No phone service,No,Yes,No,Yes,No,No,Yes,34.85,1267.2,No,DSL,Bank transfer (automatic),Month-to-month
2018,2,3,1,2911-IJORQ,Male,0,No,No,37,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90.6,3358.65,No,DSL,Bank transfer (automatic),One year
2019,1,1,1,2911-UREFD,Female,0,Yes,No,39,No,No phone service,Yes,No,Yes,No,Yes,Yes,No,55.9,2184.35,Yes,DSL,Electronic check,Month-to-month
2020,1,4,2,2911-WDXMV,Male,0,No,Yes,18,Yes,Yes,No,No,Yes,No,No,No,Yes,80.55,1406.65,No,Fiber optic,Credit card (automatic),Month-to-month
2021,1,1,2,2916-BQZLN,Male,0,No,No,19,Yes,Yes,Yes,No,Yes,No,No,No,Yes,84.75,1651.95,No,Fiber optic,Electronic check,Month-to-month
2022,1,3,2,2919-HBCJO,Female,0,No,No,4,Yes,No,No,Yes,No,No,No,No,Yes,76.65,333.6,Yes,Fiber optic,Bank transfer (automatic),Month-to-month
2023,1,4,2,2920-RNCEZ,Male,0,Yes,Yes,1,Yes,No,No,No,No,No,No,No,Yes,69.95,69.95,No,Fiber optic,Credit card (automatic),Month-to-month
2024,1,1,2,2921-XWDJH,Female,1,Yes,No,38,Yes,No,Yes,No,No,No,No,Yes,Yes,83.45,3147.15,No,Fiber optic,Electronic check,Month-to-month
2025,2,2,3,2923-ARZLG,Male,0,Yes,Yes,0,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.7, ,No,None,Mailed check,One year
2026,2,1,2,2924-KHUVI,Male,0,Yes,No,56,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,100.55,5514.95,No,Fiber optic,Electronic check,One year
2027,2,4,1,2925-MXLSX,Female,0,No,No,30,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,68.95,2038.7,No,DSL,Credit card (automatic),One year
2028,3,4,1,2925-VDZHY,Male,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,88.7,6501.35,No,DSL,Credit card (automatic),Two year
2029,2,3,3,2926-JEJJC,Female,0,No,No,8,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,20.2,140.95,No,None,Bank transfer (automatic),One year
2030,3,3,2,2927-CVULT,Female,0,Yes,Yes,53,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,104.05,5566.4,No,Fiber optic,Bank transfer (automatic),Two year
2031,2,1,2,2927-QRRQV,Male,0,Yes,No,46,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,94.65,4312.5,No,Fiber optic,Electronic check,One year
2032,1,2,3,2928-HLDBA,Female,0,No,No,6,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.7,112.75,No,None,Mailed check,Month-to-month
2033,1,1,2,2929-ERCFZ,Female,0,Yes,Yes,8,Yes,No,No,No,Yes,No,Yes,Yes,Yes,94.2,777.3,Yes,Fiber optic,Electronic check,Month-to-month
2034,2,1,2,2929-QNSRW,Female,0,Yes,No,56,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,98.25,5508.35,Yes,Fiber optic,Electronic check,One year
2035,1,4,1,2930-UOTMB,Female,0,No,No,31,Yes,Yes,Yes,No,Yes,Yes,No,No,No,65.25,1994.3,Yes,DSL,Credit card (automatic),Month-to-month
2036,1,1,1,2931-FSOHN,Male,1,No,No,13,Yes,No,No,Yes,No,No,Yes,No,Yes,59.9,788.35,No,DSL,Electronic check,Month-to-month
2037,1,4,2,2931-SVLTV,Male,0,Yes,Yes,40,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,110.1,4469.1,No,Fiber optic,Credit card (automatic),Month-to-month
2038,2,1,2,2931-VUVJN,Female,1,Yes,No,59,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,94.05,5483.9,No,Fiber optic,Electronic check,One year
2039,2,2,2,2931-XIQBR,Female,0,Yes,Yes,50,Yes,No,No,No,Yes,Yes,Yes,Yes,No,103.05,5153.5,No,Fiber optic,Mailed check,One year
2040,1,2,1,2933-FILNV,Female,0,Yes,Yes,2,No,No phone service,No,No,No,No,No,No,Yes,24.4,36.55,Yes,DSL,Mailed check,Month-to-month
2041,3,2,1,2933-XEUJM,Female,0,No,No,46,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,79.2,3593.8,No,DSL,Mailed check,Two year
2042,1,1,1,2937-FTHUR,Female,0,No,Yes,18,Yes,Yes,Yes,No,No,No,No,Yes,No,64.8,1166.7,No,DSL,Electronic check,Month-to-month
2043,1,2,1,2946-KIQSP,Female,0,No,No,35,No,No phone service,No,No,Yes,Yes,No,No,Yes,33.45,1175.85,No,DSL,Mailed check,Month-to-month
2044,1,2,1,2947-DOMLJ,Male,0,No,Yes,1,Yes,No,Yes,No,No,No,No,No,No,50.6,50.6,Yes,DSL,Mailed check,Month-to-month
2045,1,4,2,2951-QOQTK,Male,0,No,Yes,4,Yes,Yes,No,No,No,Yes,No,No,No,80.8,332.45,Yes,Fiber optic,Credit card (automatic),Month-to-month
2046,1,1,2,2952-QAYZF,Male,0,No,No,5,Yes,Yes,No,Yes,Yes,No,No,No,Yes,85.3,424.15,Yes,Fiber optic,Electronic check,Month-to-month
2047,3,4,1,2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,64.15,4254.1,No,DSL,Credit card (automatic),Two year
2048,1,1,2,2955-BJZHG,Male,0,Yes,Yes,17,Yes,No,No,No,No,No,Yes,No,No,80.85,1400.85,Yes,Fiber optic,Electronic check,Month-to-month
2049,1,3,3,2955-PSXOE,Female,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,20.2,20.2,Yes,None,Bank transfer (automatic),Month-to-month
2050,1,1,2,2956-GGUCQ,Male,1,Yes,No,24,Yes,Yes,Yes,No,No,No,No,No,Yes,78.85,1772.25,Yes,Fiber optic,Electronic check,Month-to-month
2051,2,1,2,2957-JIRMN,Female,1,No,No,62,Yes,Yes,No,No,No,No,Yes,No,No,84.45,4959.15,No,Fiber optic,Electronic check,One year
2052,1,3,1,2957-LOLHO,Male,0,No,No,12,Yes,No,No,No,No,No,No,No,Yes,45.4,518.9,Yes,DSL,Bank transfer (automatic),Month-to-month
2053,1,1,3,2958-NHPPS,Male,0,No,No,23,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.85,473.9,No,None,Electronic check,Month-to-month
2054,1,3,1,2959-EEXWB,Female,0,Yes,Yes,45,No,No phone service,Yes,No,No,No,Yes,Yes,Yes,50.9,2333.85,No,DSL,Bank transfer (automatic),Month-to-month
2055,1,4,2,2959-FENLU,Female,0,No,No,9,Yes,No,No,No,Yes,No,No,Yes,Yes,85.3,781.4,No,Fiber optic,Credit card (automatic),Month-to-month
2056,1,1,2,2959-MJHIC,Male,0,Yes,No,4,Yes,No,No,No,No,No,Yes,No,Yes,80.35,307.4,Yes,Fiber optic,Electronic check,Month-to-month
2057,1,1,2,2960-NKRSO,Male,0,No,No,24,Yes,No,No,Yes,Yes,Yes,No,No,Yes,85.95,2107.15,No,Fiber optic,Electronic check,Month-to-month
2058,3,4,3,2961-VNFKL,Female,0,Yes,No,71,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,25.95,1801.9,No,None,Credit card (automatic),Two year
2059,1,1,1,2962-XPMCQ,Male,0,No,No,2,Yes,No,No,No,No,No,No,No,Yes,45.15,98.5,Yes,DSL,Electronic check,Month-to-month
2060,2,2,3,2967-MXRAV,Male,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,18.8,18.8,No,None,Mailed check,One year
2061,1,1,2,2968-SSGAA,Female,0,No,No,10,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,100.6,1060.2,Yes,Fiber optic,Electronic check,Month-to-month
2062,1,1,1,2969-QWUBZ,Female,0,No,No,2,No,No phone service,No,Yes,No,No,Yes,Yes,No,51.4,96.8,No,DSL,Electronic check,Month-to-month
2063,2,4,1,2969-VAPYH,Female,0,No,No,67,Yes,No,Yes,Yes,No,Yes,No,No,No,60.5,3870,No,DSL,Credit card (automatic),One year
2064,2,1,1,2969-WGHQO,Female,0,Yes,Yes,7,Yes,No,Yes,Yes,Yes,No,Yes,No,No,69.45,477.05,No,DSL,Electronic check,One year
2065,1,1,1,2971-SGAFL,Female,0,No,No,13,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,78.75,995.35,No,DSL,Electronic check,Month-to-month
2066,2,1,2,2972-YDYUW,Female,0,No,No,57,Yes,Yes,No,Yes,No,Yes,No,Yes,No,94.7,5468.95,No,Fiber optic,Electronic check,One year
2067,1,4,2,2974-GGUXS,Female,1,Yes,No,36,Yes,Yes,No,Yes,No,No,Yes,No,Yes,91.95,3301.05,No,Fiber optic,Credit card (automatic),Month-to-month
2068,3,4,1,2977-CEBSX,Female,0,No,No,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90.05,5965.95,No,DSL,Credit card (automatic),Two year
2069,1,2,1,2978-XXSOG,Female,0,No,No,22,Yes,Yes,Yes,No,No,Yes,No,No,Yes,59.05,1253.5,No,DSL,Mailed check,Month-to-month
2070,1,1,2,2979-SXESE,Female,0,Yes,Yes,17,Yes,Yes,Yes,No,Yes,No,Yes,No,No,94.4,1607.2,Yes,Fiber optic,Electronic check,Month-to-month
2071,1,2,2,2982-IHMFT,Female,1,No,No,1,Yes,Yes,No,No,No,No,No,No,Yes,74.45,74.45,Yes,Fiber optic,Mailed check,Month-to-month
2072,1,1,2,2982-VPSGI,Female,0,Yes,No,11,Yes,Yes,No,No,No,No,Yes,Yes,Yes,94.0,1078.9,Yes,Fiber optic,Electronic check,Month-to-month
2073,1,3,2,2983-ZANRP,Female,0,Yes,Yes,2,Yes,No,No,Yes,No,No,No,No,Yes,73.55,145.4,Yes,Fiber optic,Bank transfer (automatic),Month-to-month
2074,1,1,2,2984-AFWNC,Female,0,No,No,3,Yes,No,No,Yes,No,No,Yes,Yes,No,95.4,293.15,No,Fiber optic,Electronic check,Month-to-month
2075,1,3,2,2984-MIIZL,Male,0,No,No,4,Yes,No,No,No,Yes,No,No,No,Yes,74.8,321.9,Yes,Fiber optic,Bank transfer (automatic),Month-to-month
2076,3,3,3,2984-RGEYA,Female,0,Yes,Yes,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.75,1375.4,No,None,Bank transfer (automatic),Two year
2077,3,4,2,2984-TBYKU,Male,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,104.9,7732.65,No,Fiber optic,Credit card (automatic),Two year
2078,1,1,2,2985-FMWYF,Female,0,No,No,23,Yes,Yes,No,No,No,No,Yes,Yes,Yes,93.5,2341.55,No,Fiber optic,Electronic check,Month-to-month
2079,1,1,1,2985-JUUBZ,Male,0,Yes,Yes,40,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,74.55,3015.75,No,DSL,Electronic check,Month-to-month
2080,3,2,1,2987-BJXIK,Female,0,No,No,70,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,84.7,5991.05,No,DSL,Mailed check,Two year
2081,1,1,2,2988-GBIVW,Female,1,Yes,No,70,Yes,Yes,Yes,No,No,No,No,Yes,Yes,90.85,6470.1,No,Fiber optic,Electronic check,Month-to-month
2082,2,1,1,2988-PLAHS,Female,0,No,No,3,Yes,No,No,No,Yes,No,Yes,Yes,Yes,69.95,220.45,No,DSL,Electronic check,One year
2083,3,4,2,2988-QRAJY,Male,0,No,No,69,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,110.05,7430.75,No,Fiber optic,Credit card (automatic),Two year
2084,1,1,2,2990-HWIML,Female,0,No,No,6,Yes,No,No,No,No,No,Yes,Yes,Yes,89.5,573.3,Yes,Fiber optic,Electronic check,Month-to-month
2085,3,3,1,2990-IAJSV,Male,0,No,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,92.0,6632.75,No,DSL,Bank transfer (automatic),Two year
2086,3,3,1,2990-OGYTD,Female,0,Yes,No,67,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,86.15,5883.85,No,DSL,Bank transfer (automatic),Two year
2087,2,4,2,2995-UPRYS,Female,1,Yes,No,40,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,99.2,4062.2,Yes,Fiber optic,Credit card (automatic),One year
2088,3,3,3,2995-YWTCD,Female,0,Yes,Yes,19,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,24.9,467.7,No,None,Bank transfer (automatic),Two year
2089,3,2,1,2996-XAUVF,Male,0,No,No,70,No,No phone service,No,No,No,Yes,No,Yes,Yes,40.05,2799.75,No,DSL,Mailed check,Two year
2090,3,4,1,2999-AANRQ,Female,0,No,No,21,Yes,No,Yes,Yes,No,Yes,Yes,No,No,71.05,1524.85,No,DSL,Credit card (automatic),Two year
2091,1,1,2,3001-CBHLQ,Male,1,Yes,No,32,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,104.9,3351.55,Yes,Fiber optic,Electronic check,Month-to-month
2092,1,1,2,3001-UNBTL,Male,1,Yes,Yes,29,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,103.95,2964.8,No,Fiber optic,Electronic check,Month-to-month
2093,1,1,2,3002-WQZWT,Female,0,No,No,29,Yes,Yes,No,No,No,No,No,No,Yes,74.2,1993.25,No,Fiber optic,Electronic check,Month-to-month
2094,1,1,2,3003-CMDUU,Female,0,Yes,No,25,Yes,No,No,No,No,Yes,Yes,Yes,Yes,95.15,2395.7,No,Fiber optic,Electronic check,Month-to-month
2095,1,1,2,3005-NFMTA,Male,1,No,No,55,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,98.8,5617.75,Yes,Fiber optic,Electronic check,Month-to-month
2096,1,4,2,3005-TYFRD,Female,0,Yes,No,55,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,103.65,5676.65,No,Fiber optic,Credit card (automatic),Month-to-month
2097,1,3,2,3006-XIMLN,Female,0,No,Yes,2,Yes,Yes,No,No,No,No,Yes,Yes,Yes,94.2,193.8,Yes,Fiber optic,Bank transfer (automatic),Month-to-month
2098,1,3,3,3007-FDPEA,Female,0,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,20.7,39.85,No,None,Bank transfer (automatic),Month-to-month
2099,2,1,2,3009-JWMPU,Male,0,No,No,62,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,96.75,6125.4,Yes,Fiber optic,Electronic check,One year
2100,1,1,3,3011-WQKSZ,Male,0,No,Yes,19,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,20.0,377.55,No,None,Electronic check,Month-to-month
2101,1,2,3,3012-VFFMN,Female,0,Yes,Yes,7,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.65,158.95,No,None,Mailed check,Month-to-month
2102,1,4,2,3014-WJKSM,Male,0,Yes,No,29,Yes,No,No,No,Yes,No,No,No,Yes,75.3,2263.4,No,Fiber optic,Credit card (automatic),Month-to-month
2103,1,2,1,3016-KSVCP,Male,0,Yes,No,29,No,No phone service,No,No,No,No,Yes,No,No,33.75,1009.25,No,DSL,Mailed check,Month-to-month
2104,1,3,2,3018-TFTSU,Male,0,No,No,12,Yes,No,Yes,No,Yes,No,No,No,No,81.7,858.6,Yes,Fiber optic,Bank transfer (automatic),Month-to-month
2105,2,4,1,3021-VLNRJ,Female,0,No,Yes,50,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,70.8,3478.15,No,DSL,Credit card (automatic),One year
2106,3,3,2,3022-BEXHZ,Male,0,Yes,Yes,67,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,111.2,7530.8,No,Fiber optic,Bank transfer (automatic),Two year
2107,1,4,2,3023-GFLBR,Female,0,Yes,Yes,33,Yes,Yes,No,No,No,No,No,Yes,No,86.15,2745.7,Yes,Fiber optic,Credit card (automatic),Month-to-month
2108,2,3,1,3026-ATZYV,Female,0,Yes,Yes,37,Yes,No,Yes,Yes,No,No,Yes,Yes,No,75.1,2658.8,No,DSL,Bank transfer (automatic),One year
2109,3,4,3,3027-YNWZU,Female,0,Yes,No,64,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.0,1584.8,No,None,Credit card (automatic),Two year
2110,1,1,2,3027-ZTDHO,Male,0,No,No,1,Yes,No,No,No,No,No,Yes,Yes,Yes,89.9,89.9,Yes,Fiber optic,Electronic check,Month-to-month
2111,1,1,2,3030-YDNRM,Male,0,No,No,8,Yes,Yes,No,No,No,No,No,No,Yes,74.85,572.45,No,Fiber optic,Electronic check,Month-to-month
2112,1,2,1,3030-YZADT,Male,0,No,No,9,Yes,No,No,No,No,No,No,No,No,44.95,431,Yes,DSL,Mailed check,Month-to-month
2113,1,2,3,3030-ZKIWL,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.05,20.05,No,None,Mailed check,Month-to-month
2114,2,2,1,3034-ZBEQN,Female,0,Yes,No,48,No,No phone service,No,Yes,Yes,No,No,No,No,34.7,1604.5,Yes,DSL,Mailed check,One year
2115,1,3,1,3038-PQIUY,Female,0,No,No,38,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,66.15,2522.4,No,DSL,Bank transfer (automatic),Month-to-month
2116,1,3,3,3039-MJSLN,Male,0,No,Yes,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.2,50.6,No,None,Bank transfer (automatic),Month-to-month
2117,1,3,3,3043-SUDUA,Female,0,No,No,32,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.9,601.55,No,None,Bank transfer (automatic),Month-to-month
2118,1,2,1,3043-TYBNO,Male,0,No,No,3,Yes,No,No,No,No,Yes,No,Yes,No,60.65,196.9,No,DSL,Mailed check,Month-to-month
2119,1,1,2,3045-XETSH,Female,0,No,No,10,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,94.85,953.45,Yes,Fiber optic,Electronic check,Month-to-month
2120,1,2,2,3049-NDXFL,Female,0,No,No,1,Yes,Yes,No,No,No,No,No,Yes,No,85.8,85.8,Yes,Fiber optic,Mailed check,Month-to-month
2121,1,1,2,3049-SOLAY,Female,0,Yes,No,3,Yes,Yes,No,No,No,No,Yes,Yes,Yes,95.2,292.85,Yes,Fiber optic,Electronic check,Month-to-month
2122,1,4,1,3050-GBUSH,Female,0,No,No,3,No,No phone service,No,No,No,No,Yes,No,Yes,34.8,113.95,No,DSL,Credit card (automatic),Month-to-month
2123,3,4,1,3050-RLLXC,Female,0,Yes,Yes,56,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,81.25,4620.4,No,DSL,Credit card (automatic),Two year
2124,1,2,1,3055-MJDSB,Male,0,No,No,9,No,No phone service,No,No,No,No,No,No,Yes,24.6,190.1,No,DSL,Mailed check,Month-to-month
2125,1,4,2,3055-OYMSE,Female,1,No,No,53,Yes,No,No,Yes,No,No,No,No,Yes,73.8,4003.85,No,Fiber optic,Credit card (automatic),Month-to-month
2126,2,4,1,3055-VTCGS,Female,0,No,No,63,Yes,No,No,No,Yes,No,No,Yes,No,58.55,3503.5,No,DSL,Credit card (automatic),One year
2127,3,2,1,3057-VJJQE,Male,0,No,No,35,Yes,Yes,Yes,No,No,No,No,No,No,55.25,1924.1,No,DSL,Mailed check,Two year
2128,2,1,2,3058-HJCUY,Male,0,Yes,Yes,41,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,102.6,4213.35,Yes,Fiber optic,Electronic check,One year
2129,1,3,1,3058-WQDRE,Male,0,No,No,13,No,No phone service,No,No,No,No,No,No,Yes,25.15,331.85,No,DSL,Bank transfer (automatic),Month-to-month
2130,1,2,1,3059-NGMXB,Male,0,Yes,Yes,14,Yes,Yes,Yes,Yes,No,No,No,Yes,No,69.2,944.65,No,DSL,Mailed check,Month-to-month
2131,1,2,3,3061-BCKYI,Male,0,No,No,14,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.9,283.75,No,None,Mailed check,Month-to-month
2132,1,1,2,3062-ICYZQ,Female,0,Yes,Yes,51,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,93.8,4539.35,No,Fiber optic,Electronic check,Month-to-month
2133,1,1,1,3063-QFSZL,Female,0,No,No,1,Yes,No,No,No,No,No,No,Yes,Yes,55.4,55.4,Yes,DSL,Electronic check,Month-to-month
2134,1,2,2,3066-RRJIO,Female,0,No,No,1,Yes,No,No,No,No,No,No,No,Yes,69.95,69.95,Yes,Fiber optic,Mailed check,Month-to-month
2135,2,3,1,3067-SVMTC,Female,0,Yes,No,68,Yes,No,Yes,No,No,Yes,No,No,No,55.9,3848.8,No,DSL,Bank transfer (automatic),One year
2136,1,1,2,3068-OMWZA,Male,1,No,No,1,Yes,Yes,No,No,Yes,No,Yes,No,Yes,88.8,88.8,Yes,Fiber optic,Electronic check,Month-to-month
2137,2,2,1,3069-SSVSN,Female,0,No,No,1,No,No phone service,No,No,No,No,No,No,No,25.85,25.85,No,DSL,Mailed check,One year
2138,3,1,2,3070-BDOQC,Female,0,No,No,60,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,99.65,5941.05,No,Fiber optic,Electronic check,Two year
2139,1,2,2,3070-DVEYC,Male,1,No,No,7,Yes,Yes,No,No,No,No,No,No,No,73.75,545.15,Yes,Fiber optic,Mailed check,Month-to-month
2140,3,3,3,3070-FNFZQ,Female,0,Yes,Yes,23,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.4,478.75,No,None,Bank transfer (automatic),Two year
2141,3,3,1,3071-MVJCD,Male,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,82.3,5815.15,No,DSL,Bank transfer (automatic),Two year
2142,1,1,2,3071-VBYPO,Male,0,Yes,Yes,3,Yes,No,Yes,Yes,No,No,Yes,No,No,89.85,248.4,No,Fiber optic,Electronic check,Month-to-month
